"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","SVL",-0.00913675131884891,0.00893834642606899,-1.02219704667088,0.306687648311253,-0.0266555883952864,0.00838208575758862
"2","f_SpeciesBULL",-2.76739937031897,2.09710218250065,-1.31963019895341,0.186958515108958,-6.87764411992058,1.34284537928265
"3","f_SpeciesGREN",-1.44514062689738,0.919340807392427,-1.57193133958266,0.115966475472465,-3.24701549890451,0.356734245109751
"4","f_SpeciesTOAD",0.752980338670574,1.4772520135692,0.509716914753964,0.610249801034778,-2.14238040401433,3.64834108135548
"5","f_SpeciesTREE",5.0927778549279,2.13505680163976,2.38531258326081,0.0170646148904698,0.908143418766687,9.2774122910891
"6","f_SpeciesWOOD",-0.724541772859071,3.15133150722446,-0.22991607553761,0.818156984450609,-6.90103803036534,5.4519544846472
"7","SVL:f_SpeciesBULL",0.0254759698372868,0.0219989182503643,1.15805557106723,0.246841359278832,-0.0176411176322681,0.0685930573068417
"8","SVL:f_SpeciesGREN",0.0393826564317556,0.0155940161245911,2.52549799340343,0.0115534441262036,0.00881894645322021,0.069946366410291
"9","SVL:f_SpeciesTOAD",-0.0139751460056678,0.0269084201554531,-0.51935958800003,0.60351000696752,-0.0667146803912277,0.038764388379892
"10","SVL:f_SpeciesTREE",-0.10218120525706,0.0461048756502825,-2.21627764560371,0.026672493030094,-0.192545101043311,-0.0118173094708084
"11","SVL:f_SpeciesWOOD",0.0288252733184627,0.0678885840393034,0.424596767282326,0.671130650015856,-0.104233906359993,0.161884452996918
