"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","CFH",-0.408514396492439,0.296759377484474,-1.3765846254136,0.168640706976162,-0.990152088436535,0.173123295451657
"2","JDayF",2.48216593593824e-05,0.0108428891663551,0.00228921083472869,0.99817347561386,-0.0212268505950561,0.0212764939137749
"3","SVL",0.00676708805253448,0.0102110243259384,0.662723722569587,0.507507513643183,-0.0132461518715671,0.026780327976636
"4","f_SpeciesBULL",-1.99867830003325,2.19245095519409,-0.911618248653742,0.361969712588985,-6.2958032100841,2.29844661001759
"5","f_SpeciesGREN",0.486311079131735,1.01424463910867,0.479481044690669,0.631596449966362,-1.50157188503408,2.47419404329755
"6","f_SpeciesTOAD",0.874020393335846,1.44871028695043,0.60330930290809,0.54630294535912,-1.96539959311969,3.71344037979138
"7","f_SpeciesTREE",4.97805334832873,2.22394482142039,2.23838887565085,0.0251957068399937,0.619201594740402,9.33690510191705
"8","f_SpeciesWOOD",-1.99447929173576,3.24389900783854,-0.614840131248324,0.53866030354251,-8.35240451658452,4.363445933113
"9","Precipitation",0.713591473603405,0.225818645601728,3.1600201644197,0.00157758220287487,0.270995061186404,1.15618788602041
"10","Temperature",0.370765122283188,0.123257533944027,3.00805241204612,0.00262927788236359,0.129184794929671,0.612345449636704
"11","LFN",0.0383294784502378,0.311345478246628,0.12310915406928,0.902020662525454,-0.571896445662552,0.648555402563027
"12","LFS",0.17017185822878,0.284315204614808,0.598532387528587,0.549484755077958,-0.38707570307338,0.72741941953094
"13","MDTV",0.431809860159976,0.268703334491667,1.60701340374832,0.108051427819068,-0.0948389979695098,0.958458718289462
"14","SVL:f_SpeciesBULL",0.0148072704360579,0.0228718494888826,0.647401533630034,0.51737210361578,-0.0300207308219729,0.0596352716940887
"15","SVL:f_SpeciesGREN",0.00882013075844642,0.0173346669169618,0.508814550674522,0.610882219246897,-0.0251551920827967,0.0427954535996895
"16","SVL:f_SpeciesTOAD",-0.0153963125192121,0.025510789214853,-0.603521607643874,0.546161745515744,-0.0653965405975169,0.0346039155590927
"17","SVL:f_SpeciesTREE",-0.0868789148596649,0.0475281761779199,-1.82794548089615,0.0675577343092659,-0.180032428419262,0.00627459869993258
"18","SVL:f_SpeciesWOOD",0.0528401694741577,0.0693941322905139,0.761450107235952,0.446388268565688,-0.0831698305536576,0.188850169501973
"19","Precipitation:Temperature",-0.0269190296415935,0.0113432833264503,-2.37312503504375,0.017638291874677,-0.0491514564278698,-0.00468660285531728
