"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","LFN",0.300432975215907,0.260448945182525,1.15351964664461,0.248697158298122,-0.210037577153289,0.810903527585103
"2","LFS",0.376017741787894,0.267859488225519,1.4037872777212,0.160382203527863,-0.148977208051454,0.901012691627241
"3","MDTV",0.320637604177741,0.212383725061944,1.50970891994772,0.131117714205814,-0.0956268478461254,0.736902056201608
